ADMIT_SCORE_NO,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PI,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
9,-0.04141049749,-0.9583641495,-0.342828,0.8415,0,0.441999,-1.225579452,0.3850959977,-1.331544995,0.5967,0.3845726011,1.157971259,0.6606,0,0,0,0,0,0
10,-0.04601166388,-1.064849055,-0.38092,0.935,0,0.49111,-1.361754947,0.4278844419,-1.479494439,0.663,0.4273028901,1.286634732,0.734,0,0,0,0,0,0
11,-0.05061283027,-1.171333961,-0.419012,1.0285,0,0.540221,-1.497930442,0.4706728861,-1.627443883,0.7293,0.4700331791,1.415298205,0.8074,0,0,0,0,0,0
12,-0.05521399665,-1.277818866,-0.457104,1.122,0,0.589332,-1.634105936,0.5134613303,-1.775393327,0.7956,0.5127634681,1.543961678,0.8808,0,0,0,0,0,0
13,-0.05981516304,-1.384303772,-0.495196,1.2155,0,0.638443,-1.770281431,0.5562497745,-1.923342771,0.8619,0.5554937571,1.672625152,0.9542,0,0,0,0,0,0
14,-0.06441632943,-1.490788677,-0.533288,1.309,0,0.687554,-1.906456926,0.5990382187,-2.071292215,0.9282,0.5982240461,1.801288625,1.0276,0,0,0,0,0,0
15,-0.06901749582,-1.597273583,-0.57138,1.4025,0,0.736665,-2.042632421,0.6418266629,-2.219241659,0.9945,0.6409543352,1.929952098,1.101,0,0,0,0,0,0
16,-0.07361866221,-1.703758488,-0.609472,1.496,0,0.785776,-2.178807915,0.684615107,-2.367191102,1.0608,0.6836846242,2.058615571,1.1744,0,0,0,0,0,0
17,-0.07821982859,-1.810243394,-0.647564,1.5895,0,0.834887,-2.31498341,0.7274035512,-2.515140546,1.1271,0.7264149132,2.187279044,1.2478,0,0,0,0,0,0
18,-0.08282099498,-1.916728299,-0.685656,1.683,0,0.883998,-2.451158905,0.7701919954,-2.66308999,1.1934,0.7691452022,2.315942518,1.3212,0,0,0,0,0,0
19,-0.08742216137,-2.023213205,-0.723748,1.7765,0,0.933109,-2.587334399,0.8129804396,-2.811039434,1.2597,0.8118754912,2.444605991,1.3946,0,0,0,0,0,0
20,-0.09202332776,-2.12969811,-0.76184,1.87,0,0.98222,-2.723509894,0.8557688838,-2.958988878,1.326,0.8546057802,2.573269464,1.468,0,0,0,0,0,0
21,-0.09662449415,-2.236183016,-0.799932,1.9635,0,1.031331,-2.859685389,0.898557328,-3.106938322,1.3923,0.8973360692,2.701932937,1.5414,0,0,0,0,0,0
22,-0.1012256605,-2.342667921,-0.838024,2.057,0,1.080442,-2.995860883,0.9413457722,-3.254887766,1.4586,0.9400663582,2.83059641,1.6148,0,0,0,0,0,0
23,-0.1058268269,-2.449152827,-0.876116,2.1505,0,1.129553,-3.132036378,0.9841342164,-3.40283721,1.5249,0.9827966472,2.959259884,1.6882,0,0,0,0,0,0
24,-0.1104279933,-2.555637732,-0.914208,2.244,0,1.178664,-3.268211873,1.026922661,-3.550786654,1.5912,1.025526936,3.087923357,1.7616,0,0,0,0,0,0
25,-0.1150291597,-2.662122638,-0.9523,2.3375,0,1.227775,-3.404387368,1.069711105,-3.698736098,1.6575,1.068257225,3.21658683,1.835,0,0,0,0,0,0
26,-0.1196303261,-2.768607543,-0.990392,2.431,0,1.276886,-3.540562862,1.112499549,-3.846685541,1.7238,1.110987514,3.345250303,1.9084,0,0,0,0,0,0
27,-0.1242314925,-2.875092449,-1.028484,2.5245,0,1.325997,-3.676738357,1.155287993,-3.994634985,1.7901,1.153717803,3.473913776,1.9818,0,0,0,0,0,0
28,-0.1288326589,-2.981577354,-1.066576,2.618,0,1.375108,-3.812913852,1.198076437,-4.142584429,1.8564,1.196448092,3.60257725,2.0552,0,0,0,0,0,0
29,-0.1334338252,-3.08806226,-1.104668,2.7115,0,1.424219,-3.949089346,1.240864882,-4.290533873,1.9227,1.239178381,3.731240723,2.1286,0,0,0,0,0,0
30,-0.1380349916,-3.194547165,-1.14276,2.805,0,1.47333,-4.085264841,1.283653326,-4.438483317,1.989,1.28190867,3.859904196,2.202,0,0,0,0,0,0
31,-0.142636158,-3.301032071,-1.180852,2.8985,0,1.522441,-4.221440336,1.32644177,-4.586432761,2.0553,1.324638959,3.988567669,2.2754,0,0,0,0,0,0
32,-0.1472373244,-3.407516976,-1.218944,2.992,0,1.571552,-4.35761583,1.369230214,-4.734382205,2.1216,1.367369248,4.117231142,2.3488,0,0,0,0,0,0
33,-0.1518384908,-3.514001882,-1.257036,3.0855,0,1.620663,-4.493791325,1.412018658,-4.882331649,2.1879,1.410099537,4.245894616,2.4222,0,0,0,0,0,0
34,-0.1564396572,-3.620486787,-1.295128,3.179,0,1.669774,-4.62996682,1.454807102,-5.030281093,2.2542,1.452829826,4.374558089,2.4956,0,0,0,0,0,0
35,-0.1610408236,-3.726971693,-1.33322,3.2725,0,1.718885,-4.766142315,1.497595547,-5.178230537,2.3205,1.495560115,4.503221562,2.569,0,0,0,0,0,0
36,-0.16564199,-3.833456598,-1.371312,3.366,0,1.767996,-4.902317809,1.540383991,-5.32617998,2.3868,1.538290404,4.631885035,2.6424,0,0,0,0,0,0
37,-0.1702431564,-3.939941504,-1.409404,3.4595,0,1.817107,-5.038493304,1.583172435,-5.474129424,2.4531,1.581020693,4.760548508,2.7158,0,0,0,0,0,0
38,-0.1748443227,-4.046426409,-1.447496,3.553,0,1.866218,-5.174668799,1.625960879,-5.622078868,2.5194,1.623750982,4.889211982,2.7892,0,0,0,0,0,0
39,-0.1794454891,-4.152911315,-1.485588,3.6465,0,1.915329,-5.310844293,1.668749323,-5.770028312,2.5857,1.666481271,5.017875455,2.8626,0,0,0,0,0,0
40,-0.1840466555,-4.25939622,-1.52368,3.74,0,1.96444,-5.447019788,1.711537768,-5.917977756,2.652,1.70921156,5.146538928,2.936,0,0,0,0,0,0
41,-0.1886478219,-4.365881126,-1.561772,3.8335,0,2.013551,-5.583195283,1.754326212,-6.0659272,2.7183,1.751941849,5.275202401,3.0094,0,0,0,0,0,0
42,-0.1932489883,-4.472366031,-1.599864,3.927,0,2.062662,-5.719370777,1.797114656,-6.213876644,2.7846,1.794672138,5.403865874,3.0828,0,0,0,0,0,0
43,-0.1978501547,-4.578850937,-1.637956,4.0205,0,2.111773,-5.855546272,1.8399031,-6.361826088,2.8509,1.837402427,5.532529348,3.1562,0,0,0,0,0,0
44,-0.2024513211,-4.685335842,-1.676048,4.114,0,2.160884,-5.991721767,1.882691544,-6.509775532,2.9172,1.880132716,5.661192821,3.2296,0,0,0,0,0,0
45,-0.2070524875,-4.791820748,-1.71414,4.2075,0,2.209995,-6.127897262,1.925479989,-6.657724976,2.9835,1.922863005,5.789856294,3.303,0,0,0,0,0,0
46,-0.2116536538,-4.898305653,-1.752232,4.301,0,2.259106,-6.264072756,1.968268433,-6.805674419,3.0498,1.965593294,5.918519767,3.3764,0,0,0,0,0,0
47,-0.2162548202,-5.004790559,-1.790324,4.3945,0,2.308217,-6.400248251,2.011056877,-6.953623863,3.1161,2.008323583,6.04718324,3.4498,0,0,0,0,0,0
48,-0.2208559866,-5.111275464,-1.828416,4.488,0,2.357328,-6.536423746,2.053845321,-7.101573307,3.1824,2.051053872,6.175846714,3.5232,0,0,0,0,0,0
49,-0.225457153,-5.21776037,-1.866508,4.5815,0,2.406439,-6.67259924,2.096633765,-7.249522751,3.2487,2.093784161,6.304510187,3.5966,0,0,0,0,0,0
50,-0.2300583194,-5.324245275,-1.9046,4.675,0,2.45555,-6.808774735,2.13942221,-7.397472195,3.315,2.136514451,6.43317366,3.67,0,0,0,0,0,0
51,-0.2346594858,-5.430730181,-1.942692,4.7685,0,2.504661,-6.94495023,2.182210654,-7.545421639,3.3813,2.17924474,6.561837133,3.7434,0,0,0,0,0,0
52,-0.2392606522,-5.537215086,-1.980784,4.862,0,2.553772,-7.081125724,2.224999098,-7.693371083,3.4476,2.221975029,6.690500606,3.8168,0,0,0,0,0,0
53,-0.2438618186,-5.643699992,-2.018876,4.9555,0,2.602883,-7.217301219,2.267787542,-7.841320527,3.5139,2.264705318,6.81916408,3.8902,0,0,0,0,0,0
54,-0.2484629849,-5.750184897,-2.056968,5.049,0,2.651994,-7.353476714,2.310575986,-7.989269971,3.5802,2.307435607,6.947827553,3.9636,0,0,0,0,0,0
55,-0.2530641513,-5.856669803,-2.09506,5.1425,0,2.701105,-7.489652209,2.35336443,-8.137219415,3.6465,2.350165896,7.076491026,4.037,0,0,0,0,0,0
56,-0.2576653177,-5.963154708,-2.133152,5.236,0,2.750216,-7.625827703,2.396152875,-8.285168858,3.7128,2.392896185,7.205154499,4.1104,0,0,0,0,0,0
57,-0.2622664841,-6.069639614,-2.171244,5.3295,0,2.799327,-7.762003198,2.438941319,-8.433118302,3.7791,2.435626474,7.333817972,4.1838,0,0,0,0,0,0
58,-0.2668676505,-6.176124519,-2.209336,5.423,0,2.848438,-7.898178693,2.481729763,-8.581067746,3.8454,2.478356763,7.462481446,4.2572,0,0,0,0,0,0
59,-0.2714688169,-6.282609425,-2.247428,5.5165,0,2.897549,-8.034354187,2.524518207,-8.72901719,3.9117,2.521087052,7.591144919,4.3306,0,0,0,0,0,0
60,-0.2760699833,-6.38909433,-2.28552,5.61,0,2.94666,-8.170529682,2.567306651,-8.876966634,3.978,2.563817341,7.719808392,4.404,0,0,0,0,0,0
61,-0.2806711497,-6.495579236,-2.323612,5.7035,0,2.995771,-8.306705177,2.610095096,-9.024916078,4.0443,2.60654763,7.848471865,4.4774,0,0,0,0,0,0
62,-0.285272316,-6.602064141,-2.361704,5.797,0,3.044882,-8.442880671,2.65288354,-9.172865522,4.1106,2.649277919,7.977135338,4.5508,0,0,0,0,0,0
63,-0.2898734824,-6.708549047,-2.399796,5.8905,0,3.093993,-8.579056166,2.695671984,-9.320814966,4.1769,2.692008208,8.105798812,4.6242,0,0,0,0,0,0
64,-0.2944746488,-6.815033952,-2.437888,5.984,0,3.143104,-8.715231661,2.738460428,-9.46876441,4.2432,2.734738497,8.234462285,4.6976,0,0,0,0,0,0
65,-0.2990758152,-6.921518858,-2.47598,6.0775,0,3.192215,-8.851407156,2.781248872,-9.616713854,4.3095,2.777468786,8.363125758,4.771,0,0,0,0,0,0
66,-0.3036769816,-7.028003763,-2.514072,6.171,0,3.241326,-8.98758265,2.824037317,-9.764663297,4.3758,2.820199075,8.491789231,4.8444,0,0,0,0,0,0
67,-0.308278148,-7.134488669,-2.552164,6.2645,0,3.290437,-9.123758145,2.866825761,-9.912612741,4.4421,2.862929364,8.620452704,4.9178,0,0,0,0,0,0
68,-0.3128793144,-7.240973574,-2.590256,6.358,0,3.339548,-9.25993364,2.909614205,-10.06056219,4.5084,2.905659653,8.749116178,4.9912,0,0,0,0,0,0
69,-0.3174804808,-7.34745848,-2.628348,6.4515,0,3.388659,-9.396109134,2.952402649,-10.20851163,4.5747,2.948389942,8.877779651,5.0646,0,0,0,0,0,0
70,-0.3220816472,-7.453943385,-2.66644,6.545,0,3.43777,-9.532284629,2.995191093,-10.35646107,4.641,2.991120231,9.006443124,5.138,0,0,0,0,0,0
71,-0.3266828135,-7.560428291,-2.704532,6.6385,0,3.486881,-9.668460124,3.037979537,-10.50441052,4.7073,3.03385052,9.135106597,5.2114,0,0,0,0,0,0
72,-0.3312839799,-7.666913196,-2.742624,6.732,0,3.535992,-9.804635618,3.080767982,-10.65235996,4.7736,3.076580809,9.26377007,5.2848,0,0,0,0,0,0
73,-0.3358851463,-7.773398102,-2.780716,6.8255,0,3.585103,-9.940811113,3.123556426,-10.8003094,4.8399,3.119311098,9.392433544,5.3582,0,0,0,0,0,0
74,-0.3404863127,-7.879883007,-2.818808,6.919,0,3.634214,-10.07698661,3.16634487,-10.94825885,4.9062,3.162041387,9.521097017,5.4316,0,0,0,0,0,0
75,-0.3450874791,-7.986367913,-2.8569,7.0125,0,3.683325,-10.2131621,3.209133314,-11.09620829,4.9725,3.204771676,9.64976049,5.505,0,0,0,0,0,0
76,-0.3496886455,-8.092852818,-2.894992,7.106,0,3.732436,-10.3493376,3.251921758,-11.24415774,5.0388,3.247501965,9.778423963,5.5784,0,0,0,0,0,0
77,-0.3542898119,-8.199337724,-2.933084,7.1995,0,3.781547,-10.48551309,3.294710203,-11.39210718,5.1051,3.290232254,9.907087436,5.6518,0,0,0,0,0,0
78,-0.3588909783,-8.305822629,-2.971176,7.293,0,3.830658,-10.62168859,3.337498647,-11.54005662,5.1714,3.332962543,10.03575091,5.7252,0,0,0,0,0,0
79,-0.3634921446,-8.412307535,-3.009268,7.3865,0,3.879769,-10.75786408,3.380287091,-11.68800607,5.2377,3.375692832,10.16441438,5.7986,0,0,0,0,0,0
80,-0.368093311,-8.51879244,-3.04736,7.48,0,3.92888,-10.89403958,3.423075535,-11.83595551,5.304,3.418423121,10.29307786,5.872,0,0,0,0,0,0
81,-0.3726944774,-8.625277346,-3.085452,7.5735,0,3.977991,-11.03021507,3.465863979,-11.98390496,5.3703,3.46115341,10.42174133,5.9454,0,0,0,0,0,0
82,-0.3772956438,-8.731762251,-3.123544,7.667,0,4.027102,-11.16639057,3.508652424,-12.1318544,5.4366,3.503883699,10.5504048,6.0188,0,0,0,0,0,0
83,-0.3818968102,-8.838247157,-3.161636,7.7605,0,4.076213,-11.30256606,3.551440868,-12.27980384,5.5029,3.546613988,10.67906828,6.0922,0,0,0,0,0,0
84,-0.3864979766,-8.944732062,-3.199728,7.854,0,4.125324,-11.43874155,3.594229312,-12.42775329,5.5692,3.589344277,10.80773175,6.1656,0,0,0,0,0,0
85,-0.391099143,-9.051216968,-3.23782,7.9475,0,4.174435,-11.57491705,3.637017756,-12.57570273,5.6355,3.632074566,10.93639522,6.239,0,0,0,0,0,0
86,-0.3957003094,-9.157701873,-3.275912,8.041,0,4.223546,-11.71109254,3.6798062,-12.72365218,5.7018,3.674804855,11.0650587,6.3124,0,0,0,0,0,0
87,-0.4003014757,-9.264186779,-3.314004,8.1345,0,4.272657,-11.84726804,3.722594645,-12.87160162,5.7681,3.717535144,11.19372217,6.3858,0,0,0,0,0,0
88,-0.4049026421,-9.370671684,-3.352096,8.228,0,4.321768,-11.98344353,3.765383089,-13.01955106,5.8344,3.760265433,11.32238564,6.4592,0,0,0,0,0,0
89,-0.4095038085,-9.47715659,-3.390188,8.3215,0,4.370879,-12.11961903,3.808171533,-13.16750051,5.9007,3.802995722,11.45104911,6.5326,0,0,0,0,0,0
90,-0.4141049749,-9.583641495,-3.42828,8.415,0,4.41999,-12.25579452,3.850959977,-13.31544995,5.967,3.845726011,11.57971259,6.606,0,0,0,0,0,0
91,-0.4187061413,-9.690126401,-3.466372,8.5085,0,4.469101,-12.39197002,3.893748421,-13.46339939,6.0333,3.8884563,11.70837606,6.6794,0,0,0,0,0,0
92,-0.4233073077,-9.796611306,-3.504464,8.602,0,4.518212,-12.52814551,3.936536865,-13.61134884,6.0996,3.931186589,11.83703953,6.7528,0,0,0,0,0,0
93,-0.4279084741,-9.903096212,-3.542556,8.6955,0,4.567323,-12.66432101,3.97932531,-13.75929828,6.1659,3.973916878,11.96570301,6.8262,0,0,0,0,0,0
94,-0.4325096405,-10.00958112,-3.580648,8.789,0,4.616434,-12.8004965,4.022113754,-13.90724773,6.2322,4.016647167,12.09436648,6.8996,0,0,0,0,0,0
95,-0.4371108068,-10.11606602,-3.61874,8.8825,0,4.665545,-12.936672,4.064902198,-14.05519717,6.2985,4.059377456,12.22302995,6.973,0,0,0,0,0,0
96,-0.4417119732,-10.22255093,-3.656832,8.976,0,4.714656,-13.07284749,4.107690642,-14.20314661,6.3648,4.102107745,12.35169343,7.0464,0,0,0,0,0,0
97,-0.4463131396,-10.32903583,-3.694924,9.0695,0,4.763767,-13.20902299,4.150479086,-14.35109606,6.4311,4.144838034,12.4803569,7.1198,0,0,0,0,0,0
98,-0.450914306,-10.43552074,-3.733016,9.163,0,4.812878,-13.34519848,4.193267531,-14.4990455,6.4974,4.187568323,12.60902037,7.1932,0,0,0,0,0,0
99,-0.4555154724,-10.54200564,-3.771108,9.2565,0,4.861989,-13.48137398,4.236055975,-14.64699495,6.5637,4.230298612,12.73768385,7.2666,0,0,0,0,0,0
100,-0.4601166388,-10.64849055,-3.8092,9.35,0,4.9111,-13.61754947,4.278844419,-14.79494439,6.63,4.273028901,12.86634732,7.34,0,0,0,0,0,0
