Age.num,MSK1.Neck.NDI,MSK1.Neck.PI,MSK2.UpperExtremity.QDASH,MSK2.UpperExtremity.UE,MSK2.UpperExtremity.PENN,MSK3.Back.MDQ,MSK3.Back.PI,MSK4.LowerExtremity.LEFS,MSK4.LowerExtremity.PI,MSK4.LowerExtremity.HOOSJr,MSK5.Knee.KOS,MSK5.Knee.PF,MSK5.Knee.KOOSJr,MSK5.Knee.IKDC,MSK6.Neck.NPRS,MSK7.UpperExtremity.NPRS,MSK8.Back.NPRS,MSK9.LowerExtremity.NPRS,MSK10.Knee.NPRS
12,-0.6957988708,0,-0.7309553583,0,1.219474808,-1.104886264,-0.6536600807,-1.420837078,-1.268037964,1.154723933,-1.056404047,-1.294801659,1.791440868,2.503700491,-0.4658566436,-0.6520413089,-0.6081186321,-0.8035583558,-0.9144981879
13,-0.7182116346,0,-0.7545005672,0,1.258755988,-1.140476369,-0.6747154885,-1.46660445,-1.308883439,1.191919387,-1.090432464,-1.336509234,1.849145965,2.584348577,-0.4808626106,-0.6730445735,-0.627707079,-0.8294422201,-0.9439555967
14,-0.7389626126,0,-0.7763000256,0,1.29512468,-1.173427659,-0.6942097512,-1.508978418,-1.346700442,1.226356998,-1.121937857,-1.375124417,1.902572539,2.659017043,-0.4947559659,-0.6924905592,-0.6458431481,-0.8534069354,-0.9712288974
15,-0.758281311,0,-0.7965948359,0,1.328983123,-1.204104577,-0.7123584756,-1.548427639,-1.381907229,1.258417647,-1.151268677,-1.411074293,1.95231149,2.728531721,-0.5076903703,-0.7105943387,-0.6627274245,-0.8757175515,-0.9966197329
16,-0.7763527465,0,-0.8155793631,0,1.36065558,-1.232800917,-0.7293354735,-1.58532992,-1.41484098,1.288408381,-1.178705826,-1.444703155,1.998839171,2.79355836,-0.5197896976,-0.7275292935,-0.6785216102,-0.8965877391,-1.020371273
17,-0.7933282507,0,-0.8334125852,0,1.390407281,-1.259756984,-0.7452829117,-1.619994284,-1.445777483,1.316580346,-1.204479066,-1.476292616,2.042545209,2.854641498,-0.5311552686,-0.7434372383,-0.6933579672,-0.9161922669,-1.042682416
18,-0.8093331818,0,-0.8502261942,0,1.418457931,-1.285171841,-0.7603185563,-1.652676717,-1.474945193,1.34314158,-1.228778724,-1.506075952,2.083752358,2.912232212,-0.5418710139,-0.7584356476,-0.7073460566,-0.9346759073,-1.063717921
19,-0.824472548,0,-0.866130504,0,1.444991569,-1.309212233,-0.7745410561,-1.683591646,-1.502535481,1.368266353,-1.251764227,-1.53424857,2.122730978,2.966708354,-0.5520072394,-0.7726229257,-0.7205776541,-0.9521599313,-1.083615801
20,-0.8388351866,0,-0.8812188408,0,1.470163895,-1.332019229,-0.7880338684,-1.71292048,-1.528710245,1.392102095,-1.273570457,-1.560975789,2.159709793,3.01838959,-0.5616234244,-0.7860823234,-0.7331304026,-0.9687469348,-1.102492818
21,-0.8524969236,0,-0.8955708616,0,1.494107803,-1.353713236,-0.8008682268,-1.740818057,-1.553607671,1.414774645,-1.294312534,-1.58639871,2.194884029,3.067548764,-0.5707703363,-0.7988848979,-0.7450705726,-0.9845244869,-1.12044863
22,-0.8655229962,0,-0.9092550999,0,1.516937629,-1.374397847,-0.8131054178,-1.767417592,-1.57734665,1.436392268,-1.314089508,-1.610638732,2.22842165,3.11442062,-0.5794916532,-0.8110917838,-0.7564551806,-0.9995679281,-1.13756898
23,-0.8779699371,0,-0.9223309448,0,1.538752455,-1.394162831,-0.8247985503,-1.792834528,-1.600030207,1.457048785,-1.332987208,-1.633801058,2.260468208,3.15920858,-0.5878252253,-0.8227559585,-0.7673336356,-1.013942547,-1.153928168
24,-0.8898870575,0,-0.9348501991,0,1.559638703,-1.413086493,-0.8359939491,-1.817169558,-1.621748209,1.476826029,-1.351080503,-1.655977448,2.291150661,3.202090081,-0.595804068,-0.8339236322,-0.7777490347,-1.027705291,-1.169591006
25,-0.9013176268,0,-0.9468583184,0,1.57967221,-1.431237542,-0.8467322633,-1.84051104,-1.64257951,1.495795809,-1.368435087,-1.677248422,2.320580414,3.24322082,-0.6034571512,-0.8446353532,-0.7877391949,-1.04090613,-1.184614363
26,-0.9122998212,0,-0.9583954079,0,1.598919883,-1.448676598,-0.8570493569,-1.86293693,-1.662593684,1.495795809,-1.38510892,-1.697685023,2.348855758,3.282738167,-0.610810035,-0.8549268968,-0.7973374816,-1.053589155,-1.199048415
27,-0.9228674929,0,-0.9694970302,0,1.617441053,-1.465457418,-0.866977032,-1.884516356,-1.681852423,1.531559228,-1.401153401,-1.717350244,2.376063849,3.320763933,-0.6178853843,-0.8648299863,-0.8065734811,-1.065793459,-1.212937654
28,-0.9330507992,0,-0.9801948664,0,1.635288575,-1.481627888,-0.8765436196,-1.905310898,-1.700410687,1.548459094,-1.416614314,-1.736300206,2.402282332,3.357406633,-0.6247033903,-0.8743728825,-0.8154735507,-1.07755387,-1.226321716
29,-0.942876722,0,-0.9905172615,0,1.652509738,-1.497230856,-0.8857744673,-1.925375655,-1.718317648,1.564765858,-1.431532626,-1.754585118,2.427580677,3.392763355,-0.6312821181,-0.8835808703,-0.8240612718,-1.088901549,-1.239236063
30,-0.9523694976,0,-1.000489677,0,1.669147018,-1.512304806,-0.894692344,-1.944760119,-1.735617474,1.580519743,-1.445945134,-1.772250081,2.452021283,3.426921311,-0.6376377948,-0.8924766621,-0.832357827,-1.099864486,-1.251712551
31,-0.961550978,0,-1.010135068,0,1.685238714,-1.526884438,-0.903317778,-1.96350891,-1.75234999,1.595757012,-1.459885014,-1.78933576,2.475660412,3.45995913,-0.6437850505,-0.9010807354,-0.8403823145,-1.110467917,-1.263779899
32,-0.9704409331,0,-1.019474204,0,1.700819476,-1.541001146,-0.9116693419,-1.9816624,-1.768551225,1.610510477,-1.473382283,-1.805878944,2.498548964,3.49194795,-0.649737122,-0.9094116169,-0.8481520128,-1.120734674,-1.275464092
33,-0.9790573072,0,-1.028525936,0,1.715920752,-1.554683423,-0.9197638934,-1.999257231,-1.784253879,1.624809916,-1.486464185,-1.821913025,2.52073314,3.522952341,-0.6555060235,-0.9174861225,-0.8556826051,-1.13068548,-1.286788713
34,-0.9874164373,0,-1.037307426,0,1.730571176,-1.567957213,-0.9276167801,-2.016326764,-1.799487728,1.638682441,-1.499155523,-1.837468405,2.542255002,3.553031088,-0.661102693,-0.9253195617,-0.8629883698,-1.140339202,-1.297775234
35,-0.9955332394,0,-1.045834344,0,1.74479689,-1.580846201,-0.9352420145,-2.032901458,-1.814279952,1.652152807,-1.511478944,-1.85257284,2.563152954,3.582237863,-0.6665371171,-0.9329259124,-0.870082343,-1.149713066,-1.308443261
36,-1.003421368,0,-1.054121035,0,1.758621826,-1.59337207,-0.9426524247,-2.049009197,-1.828655438,1.665243676,-1.52345518,-1.86725174,2.583462151,3.610621802,-0.6718184383,-0.940317971,-0.8769764592,-1.158822842,-1.318810739
37,-1.011093357,0,-1.062180665,0,1.772067948,-1.605554721,-0.9498597843,-2.064675571,-1.842637026,1.677975845,-1.535103258,-1.881528429,2.603214862,3.638228,-0.6769550474,-0.9475074817,-0.8836816715,-1.167683004,-1.328894141
38,-1.018560735,0,-1.070025345,0,1.785155464,-1.617412462,-0.9568749245,-2.079924126,-1.856245726,1.690368448,-1.546440684,-1.895424359,2.62244077,3.665097944,-0.6819546639,-0.9545052491,-0.8902080567,-1.176306866,-1.33870862
39,-1.025834132,0,-1.077666244,0,1.797903006,-1.628962175,-0.9637078325,-2.094776569,-1.869500913,1.70243913,-1.557483597,-1.908959316,2.641167248,3.691269888,-0.6868244053,-0.9613212356,-0.8965649061,-1.184706706,-1.348268148
40,-1.032923373,0,-1.085113682,0,1.81032779,-1.640219458,-0.9703677367,-2.10925296,-1.88242049,1.714204191,-1.568246913,-1.922151578,2.659419586,3.71677918,-0.6915708488,-0.9679646468,-0.9027608051,-1.19289387,-1.357585637
41,-1.039837553,0,-1.092377213,0,1.822445758,-1.651198755,-0.976863182,-2.123371872,-1.895021032,1.725678727,-1.578744441,-1.935018071,2.677221202,3.741658548,-0.6962000841,-0.9744440062,-0.9088037033,-1.20087886,-1.36667304
42,-1.04658511,0,-1.099465702,0,1.834271698,-1.661913465,-0.9832020952,-2.137150537,-1.907317916,1.736876741,-1.588988991,-1.947574499,2.694593822,3.765938354,-0.7007177607,-0.9807672213,-0.9147009751,-1.208671422,-1.375541449
43,-1.053173886,0,-1.106387388,0,1.845819355,-1.672376041,-0.9893918435,-2.150604967,-1.919325435,1.747811247,-1.59899247,-1.959835453,2.711557636,3.789646817,-0.705129129,-0.9869416409,-0.9204594747,-1.216280612,-1.384201169
44,-1.059611183,0,-1.113149941,0,1.857101524,-1.682598076,-0.9954392861,-2.163750072,-1.931056895,1.758494364,-1.608765964,-1.971814521,2.728131443,3.812810209,-0.7094390776,-0.9929741071,-0.9260855832,-1.223714863,-1.392661798
45,-1.065903809,0,-1.119760513,0,1.868130141,-1.692590383,-1.00135082,-2.176599757,-1.942524704,1.76893739,-1.61831981,-1.983524374,2.744332773,3.835453032,-0.7136521651,-0.9988710008,-0.9315852515,-1.230982038,-1.400932284
46,-1.072058124,0,-1.126225786,0,1.87891635,-1.70236306,-1.007132419,-2.189167008,-1.953740452,1.77915088,-1.627663665,-1.994976846,2.760178001,3.85759817,-0.7177726497,-1.004638282,-0.9369640382,-1.238089481,-1.409020987
47,-1.078080078,0,-1.13255201,0,1.889470579,-1.711925557,-1.012789673,-2.201463975,-1.964714983,1.789144708,-1.636806561,-2.00618301,2.775682444,3.87926703,-0.7218045149,-1.010281526,-0.9422271429,-1.245044065,-1.416935725
48,-1.083975244,0,-1.13874504,0,1.899802598,-1.721286722,-1.018327817,-2.213502038,-1.975458454,1.798928124,-1.64575696,-2.017153237,2.790860454,3.900479671,-0.7257514924,-1.015805956,-0.9473794373,-1.251852225,-1.424683825
49,-1.089748852,0,-1.14481037,0,1.90992157,-1.73045486,-1.023751766,-2.225291877,-1.985980394,1.808509806,-1.654522802,-2.027897257,2.805725493,3.921254906,-0.729617083,-1.021216472,-0.9524254911,-1.258520001,-1.432272158
50,-1.095405813,0,-1.150753159,0,1.919836105,-1.739437771,-1.029066132,-2.23684352,-1.996289755,1.817897905,-1.663111543,-2.038424211,2.820290207,3.94161041,-0.7334045756,-1.026517677,-0.9573695974,-1.265053065,-1.439707182
51,-1.100950748,0,-1.156578262,0,1.929554299,-1.74824279,-1.034275256,-2.248166403,-2.006394957,1.827100088,-1.6715302,-2.048742697,2.834566492,3.961562809,-0.7371170633,-1.0317139,-0.9622157942,-1.271456753,-1.446994967
52,-1.106388008,0,-1.162290249,0,1.939083778,-1.756876827,-1.039383225,-2.25926941,-2.016303929,1.836123578,-1.679785377,-2.058860812,2.84856555,3.981127757,-0.7407574594,-1.03680922,-0.9669678841,-1.27773609,-1.454141233
53,-1.111721694,0,-1.167893429,0,1.948431733,-1.765346397,-1.044393894,-2.270160919,-2.026024147,1.84497518,-1.687883303,-2.068786188,2.862297944,4.000320017,-0.7443285103,-1.04180748,-0.9716294525,-1.283895813,-1.461151372
54,-1.116955679,0,-1.173391871,0,1.957604949,-1.773657647,-1.0493109,-2.280848835,-2.035562668,1.853661323,-1.695829857,-2.078526033,2.875773641,4.019153523,-0.7478328087,-1.04671231,-0.9762038837,-1.289940394,-1.468030472
55,-1.122093623,0,-1.178789418,0,1.966609839,-1.781816388,-1.054137681,-2.291340633,-2.04492616,1.862188078,-1.703630595,-2.088087155,2.889002065,4.03764144,-0.7512728044,-1.051527137,-0.9806943755,-1.295874059,-1.474783343
56,-1.127138986,0,-1.184089707,0,1.975452471,-1.789828118,-1.058877488,-2.301643378,-2.054120932,1.870561189,-1.711290771,-2.097475995,2.901992125,4.055796223,-0.7546508147,-1.056255206,-0.9851039532,-1.301700805,-1.481414534
57,-1.132095046,0,-1.189296181,0,1.984138587,-1.797698039,-1.0635334,-2.311763764,-2.063152955,1.878786096,-1.718815361,-2.106698652,2.91475226,4.073629665,-0.7579690342,-1.060899588,-0.9894354812,-1.307424418,-1.487928353
58,-1.136964909,0,-1.194412102,0,1.992673633,-1.805431085,-1.068108336,-2.321708135,-2.072027892,1.886867953,-1.726209082,-2.115760907,2.927290469,4.091152945,-0.7612295425,-1.065463194,-0.9936916744,-1.313048484,-1.494328882
59,-1.141751522,0,-1.199440568,0,2.001062773,-1.813031936,-1.072605063,-2.331482508,-2.080751114,1.894811652,-1.733476409,-2.124668244,2.939614339,4.108376667,-0.764434313,-1.069948785,-0.9978751086,-1.318576408,-1.500619995
60,-1.146457684,0,-1.204384518,0,2.009310913,-1.820505035,-1.077026212,-2.341092598,-2.089327719,1.902621838,-1.74062159,-2.13342587,2.951731076,4.125310901,-0.7675852192,-1.074358985,-1.00198823,-1.324011421,-1.50680537
61,-1.151086055,0,-1.209246745,0,2.017422714,-1.827854606,-1.081374281,-2.350543837,-2.097762556,1.910302923,-1.747648664,-2.142038736,2.963647526,4.141965217,-0.7706840419,-1.078696286,-1.006033362,-1.329356595,-1.512888502
62,-1.155639165,0,-1.214029909,0,2.025402609,-1.835084667,-1.085651646,-2.35984139,-2.106060235,1.917859108,-1.75456147,-2.150511549,2.975370205,4.15834872,-0.773732475,-1.082963059,-1.010012717,-1.334614852,-1.518872718
63,-1.160119421,0,-1.218736538,0,2.033254821,-1.842199042,-1.089860571,-2.368990175,-2.114225146,1.925294388,-1.761363668,-2.158848791,2.986905312,4.174470075,-0.776732131,-1.08716156,-1.0139284,-1.339788973,-1.524761182
64,-1.16452912,0,-1.223369045,0,2.040983371,-1.849201375,-1.09400321,-2.37799488,-2.122261469,1.932612572,-1.768058739,-2.167054733,2.998258757,4.19033754,-0.7796845464,-1.09129394,-1.017782415,-1.344881609,-1.53055691
65,-1.168870448,0,-1.227929726,0,2.048592093,-1.85609514,-1.09808162,-2.38685997,-2.130173194,1.939817292,-1.774650007,-2.175133445,3.009436172,4.205958987,-0.7825911861,-1.09536225,-1.021576676,-1.349895285,-1.536262778
66,-1.173145494,0,-1.232420777,0,2.056084647,-1.862883653,-1.102097762,-2.395589711,-2.137964124,1.946912011,-1.781140641,-2.183088814,3.020442933,4.22134193,-0.7854534479,-1.099368446,-1.025313008,-1.354832414,-1.541881531
67,-1.177356251,0,-1.23684429,0,2.063464527,-1.869570078,-1.106053508,-2.404188172,-2.145637893,1.953900039,-1.787533668,-2.190924548,3.031284172,4.236493542,-0.7882726665,-1.103314396,-1.028993151,-1.359695298,-1.547415788
68,-1.181504624,0,-1.241202267,0,2.070735071,-1.876157442,-1.109950648,-2.412659244,-2.153197972,1.960784537,-1.79383198,-2.198644193,3.041964795,4.251420677,-0.7910501174,-1.107201885,-1.032618772,-1.364486136,-1.552868053
69,-1.185592435,0,-1.245496622,0,2.077899473,-1.882648637,-1.113790894,-2.421006647,-2.160647682,1.967568527,-1.800038342,-2.206251139,3.052489491,4.266129891,-0.7937870201,-1.111032621,-1.036191463,-1.369207033,-1.558240719
70,-1.189621426,0,-1.249729185,0,2.084960785,-1.88904643,-1.117575883,-2.429233938,-2.167990197,1.974254903,-1.806155401,-2.213748628,3.062862746,4.280627453,-0.7964845415,-1.114808236,-1.039712746,-1.373860001,-1.563536079
71,-1.193593267,0,-1.25390171,0,2.091921934,-1.895353471,-1.121307182,-2.437344527,-2.17522856,1.980846433,-1.81218569,-2.221139767,3.073088859,4.294919369,-0.7991437989,-1.118530294,-1.04318408,-1.378446966,-1.568756325
72,-1.197509555,0,-1.258015876,0,2.098785721,-1.901572299,-1.124986293,-2.445341677,-2.182365683,1.987345771,-1.818131637,-2.228427529,3.083171944,4.309011392,-0.8017658627,-1.122200294,-1.046606862,-1.382969777,-1.573903557
73,-1.201371824,0,-1.262073293,0,2.105554832,-1.907705347,-1.128614656,-2.453228518,-2.189404361,1.99375546,-1.823995568,-2.235614768,3.093115948,4.322909035,-0.804351759,-1.125819672,-1.049982432,-1.387430202,-1.578979792
74,-1.205181544,0,-1.266075505,0,2.112231843,-1.91375495,-1.132193653,-2.461008051,-2.196347271,2.00007794,-1.829779715,-2.242704217,3.102924655,4.33661759,-0.8069024718,-1.129389805,-1.053312074,-1.391829939,-1.583986959
75,-1.208940124,0,-1.270023995,0,2.118819228,-1.919723348,-1.135724607,-2.468683159,-2.203196984,2.006315552,-1.83548622,-2.249698504,3.112601697,4.350142131,-0.8094189459,-1.132912015,-1.056597022,-1.396170617,-1.588926915
76,-1.212648921,0,-1.273920186,0,2.125319359,-1.925612691,-1.139208793,-2.476256606,-2.209955971,2.012470544,-1.841117141,-2.256600148,3.122150563,4.363487534,-0.8119020883,-1.136387572,-1.059838459,-1.400453801,-1.593801438
77,-1.216309236,0,-1.277765444,0,2.131734519,-1.931425048,-1.142647432,-2.483731051,-2.216626602,2.018545076,-1.846674452,-2.263411572,3.131574604,4.376658482,-0.8143527703,-1.139817696,-1.063037524,-1.404680994,-1.598612241
78,-1.219922319,0,-1.281561085,0,2.138066901,-1.937162404,-1.146041701,-2.491109049,-2.223211158,2.024541225,-1.852160054,-2.270135104,3.14087704,4.389659478,-0.8167718297,-1.143203559,-1.066195309,-1.408853641,-1.603360966
79,-1.223489374,0,-1.285308372,0,2.144318613,-1.942826671,-1.149392729,-2.498393057,-2.229711832,2.030460988,-1.857575774,-2.276772984,3.150060972,4.402494852,-0.8191600723,-1.146546289,-1.069312866,-1.412973132,-1.608049197
80,-1.22701156,0,-1.289008522,0,2.150491685,-1.948419687,-1.152701605,-2.50558544,-2.236130735,2.036306286,-1.86292337,-2.283327366,3.159129378,4.41516877,-0.8215182732,-1.14984697,-1.072391208,-1.417040804,-1.612678455
81,-1.23048999,0,-1.292662707,0,2.156588071,-1.953943224,-1.155969376,-2.512688474,-2.242469897,2.04207897,-1.868204534,-2.289800326,3.168085131,4.427685244,-0.823847179,-1.153106648,-1.075431308,-1.421057945,-1.617250205
82,-1.23392574,0,-1.296272054,0,2.162609653,-1.959398985,-1.15919705,-2.519704352,-2.248731277,2.047780822,-1.873420897,-2.29619386,3.176930995,4.440048138,-0.8261475085,-1.15632633,-1.078434106,-1.425025794,-1.621765859
83,-1.237319843,0,-1.29983765,0,2.168558244,-1.964788613,-1.162385601,-2.526635187,-2.254916759,2.053413559,-1.87857403,-2.302509895,3.185669633,4.452261174,-0.8284199546,-1.159506983,-1.081400505,-1.428945548,-1.626226775
84,-1.240673297,0,-1.303360543,0,2.174435593,-1.970113694,-1.165535964,-2.533483017,-2.261028161,2.058978836,-1.883665447,-2.308750287,3.194303615,4.464327944,-0.8306651851,-1.162649545,-1.084331378,-1.432818356,-1.630634267
85,-1.243987064,0,-1.306841744,0,2.180243386,-1.975375755,-1.168649043,-2.540249805,-2.267067238,2.064478251,-1.88869661,-2.314916827,3.202835417,4.476251908,-0.8328838442,-1.165754915,-1.087227565,-1.436645332,-1.634989598
86,-1.247262073,0,-1.310282229,0,2.18598325,-1.98057627,-1.171725712,-2.546937447,-2.27303568,2.069913343,-1.893668927,-2.321011242,3.211267429,4.488036407,-0.8350765534,-1.168823964,-1.090089877,-1.440427547,-1.639293988
87,-1.25049922,0,-1.313682938,0,2.191656755,-1.985716662,-1.174766811,-2.553547774,-2.278935122,2.0752856,-1.898583759,-2.327035199,3.219601959,4.499684666,-0.8372439129,-1.171857532,-1.092919099,-1.444166035,-1.643548615
88,-1.253699369,0,-1.317044781,0,2.19726542,-1.990798305,-1.177773155,-2.560082552,-2.28476714,2.080596459,-1.903442421,-2.33299031,3.227841236,4.511199799,-0.839386502,-1.174856431,-1.095715986,-1.447861798,-1.647754616
89,-1.256863359,0,-1.320368637,0,2.202810708,-1.995822527,-1.180745527,-2.56654349,-2.290533258,2.085847307,-1.908246181,-2.33887813,3.235987411,4.522584815,-0.8415048805,-1.177821442,-1.098481269,-1.451515799,-1.651913092
90,-1.259991995,0,-1.323655353,0,2.208294036,-2.000790612,-1.183684688,-2.572932237,-2.296234949,2.091039485,-1.912996267,-2.344700163,3.244042566,4.533842622,-0.8435995895,-1.180753324,-1.101215654,-1.455128973,-1.656025102
91,-1.263086061,0,-1.326905752,0,2.213716773,-2.005703799,-1.186591371,-2.579250389,-2.301873636,2.09617429,-1.917693865,-2.350457863,3.252008711,4.54497603,-0.8456711521,-1.183652809,-1.103919825,-1.458702221,-1.660091676
92,-1.26614631,0,-1.330120626,0,2.219080245,-2.01056329,-1.189466287,-2.585499488,-2.307450697,2.101252975,-1.922340121,-2.356152635,3.259887793,4.555987759,-0.8477200742,-1.186520605,-1.106594441,-1.462236416,-1.664113805
93,-1.269173476,0,-1.333300745,0,2.224385732,-2.015370244,-1.192310122,-2.591681028,-2.312967465,2.106276755,-1.926936147,-2.361785842,3.267681695,4.566880441,-0.8497468453,-1.189357398,-1.109240142,-1.465732403,-1.668092451
94,-1.272168264,0,-1.33644685,0,2.229634475,-2.020125786,-1.195123541,-2.597796455,-2.318425228,2.111246803,-1.931483017,-2.367358799,3.275392237,4.57765662,-0.8517519393,-1.192163849,-1.111857546,-1.469191,-1.672028543
95,-1.275131361,0,-1.339559663,0,2.234827674,-2.024831004,-1.197907188,-2.603847166,-2.323825236,2.116164258,-1.935981771,-2.372872782,3.283021185,4.588318764,-0.853735815,-1.194940602,-1.114447252,-1.472612996,-1.675922983
96,-1.278063431,0,-1.342639881,0,2.239966493,-2.029486952,-1.200661686,-2.609834518,-2.329168699,2.121030219,-1.940433416,-2.378329025,3.290570247,4.598869261,-0.8556989168,-1.197688279,-1.11700984,-1.47599916,-1.679776643
97,-1.280965115,0,-1.345688178,0,2.24505206,-2.03409465,-1.203387639,-2.615759824,-2.334456788,2.125845756,-1.94483893,-2.383728727,3.298041079,4.609310423,-0.8576416752,-1.200407482,-1.119545872,-1.479350233,-1.683590368
98,-1.283837039,0,-1.34870521,0,2.250085466,-2.03865509,-1.206085634,-2.621624357,-2.339690639,2.130611901,-1.949199258,-2.389073046,3.305435286,4.619644496,-0.8595645075,-1.203098795,-1.122055894,-1.482666936,-1.687364977
99,-1.286679805,0,-1.351691613,0,2.25506777,-2.043169229,-1.208756237,-2.62742935,-2.344871354,2.135329658,-1.953515318,-2.394363106,3.312754423,4.629873651,-0.8614678183,-1.205762785,-1.124540432,-1.485949966,-1.691101264
100,-1.289494,0,-1.354648,0,2.26,-2.047638,-1.2114,-2.633176,-2.35,2.14,-1.957788,-2.3996,3.32,4.64,-0.863352,-1.2084,-1.127,-1.4892,-1.6948
